country,type_of_policy,current_framework
Belarus,Import/export controls,Resolution of the Council of Ministers of the Republic of Belarus No. 218 of 18 March 1997: The import and export of cryptography is restricted and requires a license from the Ministry of Foreign Affairs or the State Center for Information Security of the Security Council.
Belarus,Licensing/registration requirements,No known legislation
Belarus,Min/max standards,No known legislation
Belarus,Powers to intercept/decrypt encrypted communications,No known legislation
Belarus,Other restrictions,No known legislation
Belgium,General right to encryption,No known legislation
Belgium,Import/export controls,No known legislation
Belgium,Licensing/registration requirements,No known legislation
Belgium,Min/max standards,No known legislation
Belgium,Powers to intercept/decrypt encrypted communications,"Code of Criminal Investigation: Article 88 (fourth), inserted by the Loi du 28 novembre 2000 relative Ã la criminalitÃ© informatique, allows an investigating judge or police officer to order a person to decrypt decrypted data where he knows how to do so. Failure to comply is punishable by imprisonment of between six months and one year and/or a fine."
Belgium,Other restrictions,No known legislation
Belize,General right to encryption,No known legislation
Belize,Import/export controls,No known legislation
Belize,Licensing/registration requirements,No known legislation
Belize,Min/max standards,No known legislation
Belize,Powers to intercept/decrypt encrypted communications,No known legislation
Belize,Other restrictions,No known legislation
Benin,General right to encryption,No known legislation
Benin,Import/export controls,No known legislation
Benin,Licensing/registration requirements,No known legislation
Benin,Min/max standards,No known legislation
Benin,Powers to intercept/decrypt encrypted communications,No known legislation
Benin,Other restrictions,No known legislation
Bhutan,General right to encryption,No known legislation
Bhutan,Import/export controls,No known legislation
Bhutan,Licensing/registration requirements,No known legislation
Bhutan,Min/max standards,No known legislation
Bhutan,Powers to intercept/decrypt encrypted communications,No known legislation
Bhutan,Other restrictions,No known legislation
Bolivia,General right to encryption,No known legislation
Bolivia,Import/export controls,No known legislation
Bolivia,Licensing/registration requirements,No known legislation
Bolivia,Min/max standards,No known legislation
Bolivia,Powers to intercept/decrypt encrypted communications,No known legislation
Bolivia,Other restrictions,No known legislation
Bosnia and Herzegovina,General right to encryption,No known legislation
Bosnia and Herzegovina,Import/export controls,No known legislation
Bosnia and Herzegovina,Licensing/registration requirements,No known legislation
Bosnia and Herzegovina,Min/max standards,No known legislation
Bosnia and Herzegovina,Powers to intercept/decrypt encrypted communications,No known legislation
Bosnia and Herzegovina,Other restrictions,No known legislation
Botswana,General right to encryption,No known legislation
Botswana,Import/export controls,No known legislation
Botswana,Licensing/registration requirements,No known legislation
Botswana,Min/max standards,No known legislation
Botswana,Powers to intercept/decrypt encrypted communications,No known legislation
Botswana,Other restrictions,No known legislation
Brazil,General right to encryption,"Marco Civil da Internet (Law No. 12.965): Article 7(III) guarantees the inviolability and secrecy of user communications online, permitting exceptions only by court order."
Brazil,Import/export controls,No known legislation
Brazil,Licensing/registration requirements,No known legislation
Brazil,Min/max standards,No known legislation
Brazil,Powers to intercept/decrypt encrypted communications,No known legislation
Brazil,Other restrictions,No known legislation
Brunei,General right to encryption,No known legislation
Brunei,Import/export controls,No known legislation
Brunei,Licensing/registration requirements,No known legislation
Brunei,Min/max standards,No known legislation
Brunei,Powers to intercept/decrypt encrypted communications,"Computer Misuse Act 2007 (Chapter 194): Section 18(1) allows a police officer or other person authorised by the Commissioner of Police, and with the consent of the Public Prosecutor, to (a) be entitled at any time to (iii) ""have access to any information, code or technology which has the capability of retransforming or unscrambling encrypted data contained or available to such computer into readable and comprehensible format or text for the purpose of investigating any offence under this Act or any other offence which has been disclosed in the course of the lawful exercise of the powers under this section"" and (b) be entitled to require (c) ""any person in possession of decryption information to grant him access to such decryption information necessary to decrypt data required for the purpose of investigating any such offence"". Failure to comply is punishable by up to three years' imprisonment and/or a fine of up to BND 10,000 (s. 18(4))."
Brunei,Other restrictions,No known legislation
Bulgaria,General right to encryption,No known legislation
Bulgaria,Import/export controls,No known legislation
Bulgaria,Licensing/registration requirements,No known legislation
Bulgaria,Min/max standards,No known legislation
Bulgaria,Powers to intercept/decrypt encrypted communications,No known legislation
Bulgaria,Other restrictions,No known legislation
Burkina Faso,General right to encryption,No known legislation
Burkina Faso,Import/export controls,No known legislation
Burkina Faso,Licensing/registration requirements,No known legislation
Burkina Faso,Min/max standards,No known legislation
Burkina Faso,Powers to intercept/decrypt encrypted communications,No known legislation
Burkina Faso,Other restrictions,No known legislation
Burundi,General right to encryption,No known legislation
Burundi,Import/export controls,No known legislation
Burundi,Licensing/registration requirements,No known legislation
Burundi,Min/max standards,No known legislation
Burundi,Powers to intercept/decrypt encrypted communications,No known legislation
Burundi,Other restrictions,No known legislation
Cambodia,General right to encryption,No known legislation
Cambodia,Import/export controls,No known legislation
Cambodia,Licensing/registration requirements,No known legislation
Cambodia,Min/max standards,No known legislation
Cambodia,Powers to intercept/decrypt encrypted communications,No known legislation
Cambodia,Other restrictions,No known legislation
Cameroon,General right to encryption,No known legislation
Cameroon,Import/export controls,No known legislation
Cameroon,Licensing/registration requirements,No known legislation
Cameroon,Min/max standards,No known legislation
Cameroon,Powers to intercept/decrypt encrypted communications,No known legislation
Cameroon,Other restrictions,No known legislation
Canada,General right to encryption,No known legislation
Canada,Import/export controls,No known legislation
Canada,Licensing/registration requirements,No known legislation
Canada,Min/max standards,No known legislation
Canada,Powers to intercept/decrypt encrypted communications,"Criminal Code of Canada: Section 487.012(1) provides that ""[a] peace officer or public officer may make a demand to a person in Form 5.001 requiring them to preserve computer data that is in their possession or control when the demand is made."" Some have argued that conditions attached to this demand could include a requirement that encrypted data be decrypted."
Canada,Other restrictions,No known legislation
Cape Verde,General right to encryption,No known legislation
Cape Verde,Import/export controls,No known legislation
Cape Verde,Licensing/registration requirements,No known legislation
Cape Verde,Min/max standards,No known legislation
Cape Verde,Powers to intercept/decrypt encrypted communications,No known legislation
Cape Verde,Other restrictions,No known legislation
Central African Republic,General right to encryption,No known legislation
Central African Republic,Import/export controls,No known legislation
Central African Republic,Licensing/registration requirements,No known legislation
Central African Republic,Min/max standards,No known legislation
Central African Republic,Powers to intercept/decrypt encrypted communications,No known legislation
Central African Republic,Other restrictions,No known legislation
Chad,General right to encryption,No known legislation
Chad,Import/export controls,No known legislation
Chad,Licensing/registration requirements,No known legislation
Chad,Min/max standards,No known legislation
Chad,Powers to intercept/decrypt encrypted communications,No known legislation
Chad,Other restrictions,No known legislation
Chile,General right to encryption,No known legislation
Chile,Import/export controls,No known legislation
Chile,Licensing/registration requirements,No known legislation
Chile,Min/max standards,No known legislation
Chile,Powers to intercept/decrypt encrypted communications,No known legislation
Chile,Other restrictions,No known legislation
China,General right to encryption,No known legislation
China,Import/export controls,"State Council Order No. 273, ""Commercial Use Password Management Regulations"" (1999): The import and export of encryption products requires a license by the State Encryption Management Commission."
China,Licensing/registration requirements,"State Council Order No. 273, ""Commercial Use Password Management Regulations"" (1999): Officially designated manufacturers must obtain approval from the State Encryption Management Commission / State Cryptography Administration (OSCCA) for the type and model (including key length) of their crypto products."
China,Min/max standards,No known legislation
China,Powers to intercept/decrypt encrypted communications,"Counter-Terrorism Law: Technology firms are required to help decrypt information, but not to install security ""backdoors"", as had originally been planned."
China,Other restrictions,"State Council Order No. 273, ""Commercial Use Password Management Regulations"" (1999): Organisations and individuals may not distribute encryption products produced abroad. People may only use encryption products approved by the Commission, and they may not use commercial encryption products developed by themselves or produced abroad. For this use, they must have approval by the Commission. Only foreign diplomatic missions and consulates are exempted from this approval."
Colombia,General right to encryption,"There is no general right to encryption, however Law No. 1621 of 2013, which regulates intelligence activities, provides at Article 44, paragraph 2, that telecommunications services providers must offer encrypted voice call service to high government and intelligence officials."
Colombia,Import/export controls,No known legislation
Colombia,Licensing/registration requirements,No known legislation
Colombia,Min/max standards,No known legislation
Colombia,Powers to intercept/decrypt encrypted communications,No known legislation
Colombia,Other restrictions,"Law 104 of 1997: Article 103, paragraph 4 prohibits subscribers, licensees and other persons authorised to use certain radiocommunications systems (including pagers and mobile phones) from sending messages which are encrypted or in an ""unintelligible language"". It is not clear if this prohibition extends to encrypted communications on the internet."
Comoros,General right to encryption,No known legislation
Comoros,Import/export controls,No known legislation
Comoros,Licensing/registration requirements,No known legislation
Comoros,Min/max standards,No known legislation
Comoros,Powers to intercept/decrypt encrypted communications,No known legislation
Comoros,Other restrictions,No known legislation
Costa Rica,General right to encryption,No known legislation
Costa Rica,Import/export controls,No known legislation
Costa Rica,Licensing/registration requirements,No known legislation
Costa Rica,Min/max standards,No known legislation
Costa Rica,Powers to intercept/decrypt encrypted communications,No known legislation
Costa Rica,Other restrictions,No known legislation
Cote dâ€™Ivoire,General right to encryption,No known legislation
Cote dâ€™Ivoire,Import/export controls,No known legislation
Cote dâ€™Ivoire,Licensing/registration requirements,No known legislation
Cote dâ€™Ivoire,Min/max standards,No known legislation
Cote dâ€™Ivoire,Powers to intercept/decrypt encrypted communications,No known legislation
Cote dâ€™Ivoire,Other restrictions,No known legislation
Croatia,General right to encryption,No known legislation
Croatia,Import/export controls,No known legislation
Croatia,Licensing/registration requirements,No known legislation
Croatia,Min/max standards,No known legislation
Croatia,Powers to intercept/decrypt encrypted communications,"Criminal Procedure Act
 Article 257(1) provides that the search of a movable object includes the search of a computer and connected devices, as well as devices which collect, store and transmit data. Where the person or body undertaking the search so requests, ""the person who uses a computer or has access to a computer, other device or computer-data storage medium, and the provider of telecommunication services shall be obliged to enable access to a computer, device or a computer-data storage medium and to provide necessary information for unhindered use and the realization of the aims of the search."" It is not entirely clear whether this would include a requirement to decrypt encrypted data."
Croatia,Other restrictions,No known legislation
Cuba,General right to encryption,No known legislation
Cuba,Import/export controls,No known legislation
Cuba,Licensing/registration requirements,The law requires regulatory authorisation for those using encryption.
Cuba,Min/max standards,No known legislation
Cuba,Powers to intercept/decrypt encrypted communications,No known legislation
Cuba,Other restrictions,No known legislation
Cyprus,General right to encryption,No known legislation
Cyprus,Import/export controls,No known legislation
Cyprus,Licensing/registration requirements,No known legislation
Cyprus,Min/max standards,No known legislation
Cyprus,Powers to intercept/decrypt encrypted communications,No known legislation
Cyprus,Other restrictions,No known legislation
Czech Republic,General right to encryption,No known legislation
Czech Republic,Import/export controls,No known legislation
Czech Republic,Licensing/registration requirements,No known legislation
Czech Republic,Min/max standards,No known legislation
Czech Republic,Powers to intercept/decrypt encrypted communications,"Code of Criminal Procedure
 Section 8 provides that persons (including public authorities, legal entities and natural persons) are obliged to comply with requests of authorities involved in criminal proceedings in the performance of their tasks. This could include the provision of decrypted data or encryption keys.
 Act on Electronic Communications (Act No. 127/2005)
 This Act requires service providers to provide data, upon the request of law enforcement agencies, in a readable decrypted way if they are able to do so."""
Czech Republic,Other restrictions,No known legislation
Democratic Republic of the Congo,General right to encryption,No known legislation
Democratic Republic of the Congo,Import/export controls,No known legislation
Democratic Republic of the Congo,Licensing/registration requirements,No known legislation
Democratic Republic of the Congo,Min/max standards,No known legislation
Democratic Republic of the Congo,Powers to intercept/decrypt encrypted communications,No known legislation
Democratic Republic of the Congo,Other restrictions,No known legislation
Denmark,General right to encryption,No known legislation
Denmark,Import/export controls,No known legislation
Denmark,Licensing/registration requirements,No known legislation
Denmark,Min/max standards,No known legislation
Denmark,Powers to intercept/decrypt encrypted communications,"Administration of Justice Act: Section 804 provides that persons other than suspects and accused persons who are in possession of information relevant to an investigation can be required to hand over information, which would include decryption keys.
 Act on Electronic Communications Networks and Services: Section 10 requires providers of electronic communications networks and services for end-users to enable police interceptions of communications, and to organise their switching centres, equipment and technical systems in such a way that data can be made available to police investigations. However, there is no equivalent requirement for providers on the wholesale market, such as owners of fibre-optic networks."
Denmark,Other restrictions,No known legislation
Djibouti,General right to encryption,No known legislation
Djibouti,Import/export controls,No known legislation
Djibouti,Licensing/registration requirements,No known legislation
Djibouti,Min/max standards,No known legislation
Djibouti,Powers to intercept/decrypt encrypted communications,No known legislation
Djibouti,Other restrictions,No known legislation
Dominic,General right to encryption,No known legislation
Dominic,Import/export controls,No known legislation
Dominic,Licensing/registration requirements,No known legislation
Dominic,Min/max standards,No known legislation
Dominic,Powers to intercept/decrypt encrypted communications,No known legislation
Dominic,Other restrictions,No known legislation
Dominic Republic,General right to encryption,No known legislation
Dominic Republic,Import/export controls,No known legislation
Dominic Republic,Licensing/registration requirements,No known legislation
Dominic Republic,Min/max standards,No known legislation
Dominic Republic,Powers to intercept/decrypt encrypted communications,No known legislation
Dominic Republic,Other restrictions,No known legislation
Ecuador,General right to encryption,No known legislation
Ecuador,Import/export controls,No known legislation
Ecuador,Licensing/registration requirements,No known legislation
Ecuador,Min/max standards,No known legislation
Ecuador,Powers to intercept/decrypt encrypted communications,No known legislation
Ecuador,Other restrictions,No known legislation
Egypt,General right to encryption,No known legislation
Egypt,Import/export controls,No known legislation
Egypt,Licensing/registration requirements,"Telecommunication Regulation Law: Article 64 provides that ""Telecommunication Services Operators, Providers, their employees and Users of such services shall not use any Telecommunication Services encryption equipment except after obtaining a written consent from each of the NTRA, the Armed Forces and National Security Entities, and this shall not apply to encryption equipment of radio and television broadcasting."""
Egypt,Min/max standards,No known legislation
Egypt,Powers to intercept/decrypt encrypted communications,No known legislation
Egypt,Other restrictions,No known legislation
El Salvador,General right to encryption,No known legislation
El Salvador,Import/export controls,No known legislation
El Salvador,Licensing/registration requirements,No known legislation
El Salvador,Min/max standards,No known legislation
El Salvador,Powers to intercept/decrypt encrypted communications,No known legislation
El Salvador,Other restrictions,No known legislation
Equatorial Guinea,General right to encryption,No known legislation
Equatorial Guinea,Import/export controls,No known legislation
Equatorial Guinea,Licensing/registration requirements,No known legislation
Equatorial Guinea,Min/max standards,No known legislation
Equatorial Guinea,Powers to intercept/decrypt encrypted communications,No known legislation
Equatorial Guinea,Other restrictions,No known legislation
Eritrea,General right to encryption,No known legislation
Eritrea,Import/export controls,No known legislation
Eritrea,Licensing/registration requirements,No known legislation
Eritrea,Min/max standards,No known legislation
Eritrea,Powers to intercept/decrypt encrypted communications,No known legislation
Eritrea,Other restrictions,No known legislation
Estonia,General right to encryption,No known legislation
Estonia,Import/export controls,No known legislation
Estonia,Licensing/registration requirements,No known legislation
Estonia,Min/max standards,No known legislation
Estonia,Powers to intercept/decrypt encrypted communications,"Criminal Procedure Code: Article 215 allows investigative authorities and prosecutors' offices to order the production of data from any person. However, there is no requirement that such persons disclose encryption keys or passwords. Nor are there any requirements on service providers to decrypt encrypted information."
Estonia,Other restrictions,No known legislation
Ethiopia,General right to encryption,No known legislation
Ethiopia,Import/export controls,"Proclamation on Telecom Fraud Offences (Proclamation No. 761/2012): Article 3(1) of the Proclamation criminalises the manufacture, assembly or import of any telecommunications equipment without a permit, punishable by ""rigorous imprisonment"" for between 10 and 15 years and a fine of between ETB 100,000 and ETB 150,000."
Ethiopia,Licensing/registration requirements,"Proclamation on Telecom Fraud Offences (Proclamation No. 761/2012): Article 3(1) of the Proclamation criminalises the manufacture, assembly or import of any telecommunications equipment without a permit, punishable by ""rigorous imprisonment"" for between 10 and 15 years and a fine of between ETB 100,000 and ETB 150,000."
Ethiopia,Min/max standards,No known legislation
Ethiopia,Powers to intercept/decrypt encrypted communications,
Ethiopia,Other restrictions,"Proclamation on Telecom Fraud Offences (Proclamation No. 761/2012): Article 3(1) of the Proclamation criminalises the manufacture, assembly or import of any telecommunications equipment without a permit, punishable by ""rigorous imprisonment"" for between 10 and 15 years and a fine of between ETB 100,000 and ETB 150,000."
Fiji,General right to encryption,No known legislation
Fiji,Import/export controls,No known legislation
Fiji,Licensing/registration requirements,No known legislation
Fiji,Min/max standards,No known legislation
Fiji,Powers to intercept/decrypt encrypted communications,No known legislation
Fiji,Other restrictions,No known legislation
Finland,General right to encryption,"Act on the Protection of Privacy in Electronic Communications: Section 5 provides that ""a user and a subscriber has the right to protect its telecommunications in the desired manner by using for this purpose the available technical possibilities""."
Finland,Import/export controls,No known legislation
Finland,Licensing/registration requirements,No known legislation
Finland,Min/max standards,No known legislation
Finland,Powers to intercept/decrypt encrypted communications,Coercive Measures Act: Section 23 provides that persons (including persons who maintain information systems) other than suspects/accused persons can be required to hand over passwords and decryption keys if it is necessary to conduct a search of data contained in a device.
Finland,Other restrictions,No known legislation
France,General right to encryption,No known legislation
France,Import/export controls,No known legislation
France,Licensing/registration requirements,No known legislation
France,Min/max standards,No known legislation
France,Powers to intercept/decrypt encrypted communications,"Criminal Procedure Code: Article 230, modified by Law No. 2001-1062 and Law No. 2014-1353 requires the disclosure of encryption keys upon the authorisation of a judge."
France,Other restrictions,No known legislation
Gabon,General right to encryption,No known legislation
Gabon,Import/export controls,No known legislation
Gabon,Licensing/registration requirements,No known legislation
Gabon,Min/max standards,No known legislation
Gabon,Powers to intercept/decrypt encrypted communications,No known legislation
Gabon,Other restrictions,No known legislation
Gambia,General right to encryption,No known legislation
Gambia,Import/export controls,No known legislation
Gambia,Licensing/registration requirements,No known legislation
Gambia,Min/max standards,No known legislation
Gambia,Powers to intercept/decrypt encrypted communications,No known legislation
Gambia,Other restrictions,No known legislation
Georgia,General right to encryption,No known legislation
Georgia,Import/export controls,No known legislation
Georgia,Licensing/registration requirements,No known legislation
Georgia,Min/max standards,No known legislation
Georgia,Powers to intercept/decrypt encrypted communications,No known legislation
Georgia,Other restrictions,No known legislation
Germany,General right to encryption,No known legislation
Germany,Import/export controls,No known legislation
Germany,Licensing/registration requirements,No known legislation
Germany,Min/max standards,No known legislation
Germany,Powers to intercept/decrypt encrypted communications,"Criminal Procedure Law: There is no specific obligation with respect to providing encryption keys. However, Section 48 requires witnesses to disclose encryption keys as far as they have knowledge of them when questioned by a judge or prosecutor, and section 94 requires witnesses to provide documents or devices which contain such encryption keys when ordered to by a judge or, in certain circumstances, the police. Section 100 places a similar obligation upon service providers to provide passwords or access codes if they have them, but again only if ordered to by a judge or, in certain circumstances, the police."
Germany,Other restrictions,No known legislation
Ghana,General right to encryption,No known legislation
Ghana,Import/export controls,No known legislation
Ghana,Licensing/registration requirements,No known legislation
Ghana,Min/max standards,No known legislation
Ghana,Powers to intercept/decrypt encrypted communications,No known legislation
Ghana,Other restrictions,No known legislation
Greece,General right to encryption,No known legislation
Greece,Import/export controls,No known legislation
Greece,Licensing/registration requirements,No known legislation
Greece,Min/max standards,No known legislation
Greece,Powers to intercept/decrypt encrypted communications,No known legislation
Greece,Other restrictions,No known legislation
Grenada,General right to encryption,No known legislation
Grenada,Import/export controls,No known legislation
Grenada,Licensing/registration requirements,No known legislation
Grenada,Min/max standards,No known legislation
Grenada,Powers to intercept/decrypt encrypted communications,No known legislation
Grenada,Other restrictions,No known legislation
Guatemala,General right to encryption,No known legislation
Guatemala,Import/export controls,No known legislation
Guatemala,Licensing/registration requirements,No known legislation
Guatemala,Min/max standards,No known legislation
Guatemala,Powers to intercept/decrypt encrypted communications,No known legislation
Guatemala,Other restrictions,No known legislation
Guinea,General right to encryption,No known legislation
Guinea,Import/export controls,No known legislation
Guinea,Licensing/registration requirements,No known legislation
Guinea,Min/max standards,No known legislation
Guinea,Powers to intercept/decrypt encrypted communications,No known legislation
Guinea,Other restrictions,No known legislation
Guinea-Bissau,General right to encryption,No known legislation
Guinea-Bissau,Import/export controls,No known legislation
Guinea-Bissau,Licensing/registration requirements,No known legislation
Guinea-Bissau,Min/max standards,No known legislation
Guinea-Bissau,Powers to intercept/decrypt encrypted communications,No known legislation
Guinea-Bissau,Other restrictions,No known legislation
Guyana,General right to encryption,No known legislation
Guyana,Import/export controls,No known legislation
Guyana,Licensing/registration requirements,No known legislation
Guyana,Min/max standards,No known legislation
Guyana,Powers to intercept/decrypt encrypted communications,No known legislation
Guyana,Other restrictions,No known legislation
Honduras,General right to encryption,No known legislation
Honduras,Import/export controls,No known legislation
Honduras,Licensing/registration requirements,No known legislation
Honduras,Min/max standards,No known legislation
Honduras,Powers to intercept/decrypt encrypted communications,No known legislation
Honduras,Other restrictions,No known legislation
Hungary,General right to encryption,No known legislation
Hungary,Import/export controls,No known legislation
Hungary,Licensing/registration requirements,No known legislation
Hungary,Min/max standards,No known legislation
Hungary,Powers to intercept/decrypt encrypted communications,No known legislation
Hungary,Other restrictions,No known legislation
Iceland,General right to encryption,No known legislation
Iceland,Import/export controls,No known legislation
Iceland,Licensing/registration requirements,No known legislation
Iceland,Min/max standards,No known legislation
Iceland,Powers to intercept/decrypt encrypted communications,No known legislation
Iceland,Other restrictions,No known legislation
India,General right to encryption,No known legislation
